date,Mkt-RF,SMB,HML,RF
2020-05-22,0.27,0.47,-0.87,0
2020-05-26,1.23,0.04,4.59,0
2020-05-27,1.54,0.61,3.62,0
2020-05-28,-0.41,-1.47,-2.41,0
2020-05-29,0.6,-0.28,-1.97,0
2020-06-01,0.52,-0.02,0.45,0
2020-06-02,0.81,-0.05,0.45,0
2020-06-03,1.42,0.11,2.66,0
2020-06-04,-0.34,-0.24,2.98,0
2020-06-05,2.5,0.73,2.67,0
2020-06-08,1.39,0.37,2.15,0
2020-06-09,-0.85,-0.3,-1.94,0
2020-06-10,-0.56,-0.82,-4.16,0
2020-06-11,-5.91,-0.83,-3.06,0
2020-06-12,1.29,0.36,1.86,0
2020-06-15,1.09,1.42,-0.41,0
2020-06-16,1.86,0.63,0.48,0
2020-06-17,-0.4,-0.91,-1.98,0
2020-06-18,0.19,0.1,-0.56,0
2020-06-19,-0.45,0.09,-0.64,0
2020-06-22,0.71,0.83,-1.44,0
2020-06-23,0.42,0.14,-0.56,0
2020-06-24,-2.61,-0.5,-1.3,0
2020-06-25,1.12,0.26,0.49,0
2020-06-26,-2.44,0.18,-1.42,0
2020-06-29,1.51,1.22,1.77,0
2020-06-30,1.58,0.07,0,0
2020-07-01,0.41,-1.24,-2.51,0
2020-07-02,0.5,-0.01,-0.09,0
2020-07-06,1.65,-0.61,0.37,0
2020-07-07,-1.03,-0.51,-1.53,0
2020-07-08,0.91,0.31,-0.46,0
2020-07-09,-0.53,-0.9,-2.59,0
2020-07-10,1.11,-0.13,3.03,0
2020-07-13,-1.2,-0.78,1.99,0
2020-07-14,1.35,0.36,-0.34,0
2020-07-15,1.14,2.4,1.28,0
2020-07-16,-0.37,-0.37,0.79,0
2020-07-17,0.3,0.18,-1.41,0
2020-07-20,1.01,-0.43,-2.38,0
2020-07-21,0.16,0.83,3.23,0
2020-07-22,0.49,-0.58,-0.34,0
2020-07-23,-1.2,0.72,1.92,0
2020-07-24,-0.75,-0.79,0.46,0
2020-07-27,0.88,0.78,-1.94,0
2020-07-28,-0.81,-0.7,0.97,0
2020-07-29,1.35,0.52,0.87,0
2020-07-30,-0.29,0.5,-1.83,0
2020-07-31,0.61,-1.54,-0.65,0
2020-08-03,0.98,1.2,-0.79,0
2020-08-04,0.37,0.45,0.05,0
2020-08-05,0.78,1.01,0.85,0
2020-08-06,0.53,-0.42,-0.79,0
2020-08-07,0.02,0.85,2.34,0
2020-08-10,0.24,0.81,1.66,0
2020-08-11,-0.83,-0.34,1.57,0
2020-08-12,1.4,-0.48,-1.3,0
2020-08-13,-0.01,0.21,-1.3,0
2020-08-14,-0.04,-0.09,1.03,0
2020-08-17,0.45,0.58,-1.94,0
2020-08-18,0.22,-1.06,-1.39,0
2020-08-19,-0.38,0.47,0.08,0
2020-08-20,0.31,-0.49,-1.52,0
2020-08-21,0.25,-1.06,-0.42,0
2020-08-24,0.92,-0.33,2.56,0
2020-08-25,0.36,0.14,-0.61,0
2020-08-26,1,-1.11,-1.74,0
2020-08-27,0.18,-0.36,0.98,0
2020-08-28,0.7,0.3,-0.22,0
2020-08-31,-0.04,-0.44,-1.75,0
2020-09-01,0.92,0.49,-0.33,0
2020-09-02,1.27,-0.52,-0.43,0
2020-09-03,-3.7,-0.25,2.57,0
2020-09-04,-0.87,-0.2,2.09,0
2020-09-08,-2.91,0.65,-0.18,0
2020-09-09,2.07,-0.16,-1.96,0
2020-09-10,-1.64,0.32,-0.05,0
2020-09-11,-0.06,-0.84,0.91,0
2020-09-14,1.59,1.14,-0.78,0
2020-09-15,0.57,-0.28,-1.42,0
2020-09-16,-0.39,0.71,1.34,0
2020-09-17,-0.85,0.37,0.19,0
2020-09-18,-0.88,0.75,-0.18,0
2020-09-21,-1.08,-1.91,-1.91,0
2020-09-22,1.02,-0.12,-1.65,0
2020-09-23,-2.48,-0.69,0.17,0
2020-09-24,0.25,-0.21,0.32,0
2020-09-25,1.72,0.13,-1.35,0
2020-09-28,1.66,0.71,1.02,0
2020-09-29,-0.42,0.75,-1.3,0
2020-09-30,0.79,-0.69,0.18,0
2020-10-01,0.79,1.06,-0.57,0
2020-10-02,-0.96,1.08,2.44,0
2020-10-05,1.93,0.99,-0.1,0
2020-10-06,-1.28,0.76,0.24,0
2020-10-07,1.84,0.46,0.24,0
2020-10-08,0.8,0.01,1,0
2020-10-09,0.93,0.01,-1.42,0
2020-10-12,1.53,-0.82,-0.14,0
2020-10-13,-0.41,0.19,-1.69,0
2020-10-14,-0.65,0.1,0.06,0
2020-10-15,-0.08,0.88,1.12,0
2020-10-16,-0.06,-0.21,0.06,0
2020-10-19,-1.53,0.36,0.28,0
2020-10-20,0.34,-0.25,1.28,0
2020-10-21,-0.36,-0.43,0.3,0
2020-10-22,0.67,0.59,1.07,0
2020-10-23,0.38,0.43,0.05,0
2020-10-26,-1.85,-0.28,-0.39,0
2020-10-27,-0.23,-0.04,-2.36,0
2020-10-28,-3.41,0.06,0.57,0
2020-10-29,1.13,0.17,0.22,0
2020-10-30,-1.45,-0.79,1.85,0
2020-11-02,1.17,0.45,0.98,0
2020-11-03,1.93,0.94,-0.21,0
2020-11-04,2.25,-1.43,-4.89,0
2020-11-05,2.13,1,0.49,0
2020-11-06,0.01,-0.83,-0.95,0
2020-11-09,0.87,0.7,6.7,0
2020-11-10,-0.17,1.47,2.17,0
2020-11-11,0.88,-0.55,-1.75,0
2020-11-12,-0.94,-0.23,-1.18,0
2020-11-13,1.31,0.58,1.13,0
2020-11-16,1.22,0.74,1.91,0
2020-11-17,-0.19,0.61,0.02,0
2020-11-18,-0.93,-0.01,0,0
2020-11-19,0.59,0.49,-0.72,0
2020-11-20,-0.51,0.7,-0.61,0
2020-11-23,0.83,0.85,1.55,0
2020-11-24,1.56,-0.15,2.73,0
2020-11-25,0.03,0.01,-1.27,0
2020-11-27,0.43,0.45,-1.64,0
2020-11-30,-0.53,-0.98,-2.05,0
2020-12-01,0.98,-0.23,0.54,0
2020-12-02,0.11,-0.09,1.05,0
2020-12-03,0.18,0.46,-0.05,0
2020-12-04,1.02,1.4,0.85,0
2020-12-07,0.03,0.22,-1.01,0
2020-12-08,0.47,0.97,-0.75,0
2020-12-09,-1.03,-0.06,1.34,0
2020-12-10,0.24,1.09,-0.47,0
2020-12-11,-0.2,-0.36,-0.72,0
2020-12-14,-0.28,0.6,-1.54,0
2020-12-15,1.28,1.05,0.4,0
2020-12-16,0.17,-0.42,-0.37,0
2020-12-17,0.79,0.71,-0.67,0
2020-12-18,-0.12,0.11,-1.15,0
2020-12-21,-0.23,0.13,-0.03,0
2020-12-22,0.06,1.23,-1.62,0
2020-12-23,0.1,0.34,2,0
2020-12-24,0.21,-0.39,-0.17,0
2020-12-28,0.46,-0.72,0.32,0
2020-12-29,-0.4,-1.52,0.24,0
2020-12-30,0.27,0.99,0.04,0
2020-12-31,0.39,-0.87,0.45,0
2021-01-04,-1.41,0.25,0.53,0
2021-01-05,0.86,1.22,0.51,0
2021-01-06,0.79,2.11,3.89,0
2021-01-07,1.76,0.32,-0.85,0
2021-01-08,0.51,-0.71,-1.35,0
2021-01-11,-0.51,0.26,1.24,0
2021-01-12,0.38,1.25,1.23,0
2021-01-13,0.07,-0.93,-0.42,0
2021-01-14,-0.11,1.99,1.11,0
2021-01-15,-0.86,-0.47,-0.74,0
2021-01-19,0.92,0.85,-0.84,0
2021-01-20,1.26,-0.4,-1.12,0
2021-01-21,-0.04,-0.54,-0.94,0
2021-01-22,-0.07,1.82,-0.16,0
2021-01-25,0.29,-0.07,-0.45,0
2021-01-26,-0.32,0,0.03,0
2021-01-27,-2.53,1.3,1.47,0
2021-01-28,0.92,-1.86,-0.79,0
2021-01-29,-1.84,0.57,0.56,0
2021-02-01,1.73,0.93,-1.5,0
2021-02-02,1.48,-0.82,-1.07,0
2021-02-03,0.15,0.48,0.87,0
2021-02-04,1.23,0.4,0.33,0
2021-02-05,0.58,1.07,-0.47,0
2021-02-08,0.96,2.04,0.36,0
2021-02-09,0.05,0.68,-0.18,0
2021-02-10,-0.08,-0.48,0.67,0
2021-02-11,0.19,-0.18,-0.45,0
2021-02-12,0.49,-0.14,0.48,0
2021-02-16,-0.14,-0.6,1.9,0
2021-02-17,-0.21,-0.88,0.6,0
2021-02-18,-0.64,-1.49,-0.22,0
2021-02-19,0.16,1.74,0.68,0
2021-02-22,-1.13,-0.09,3.14,0
2021-02-23,-0.15,-1.28,0.9,0
